Week	feels right	feels wrong
2006-03-26 - 2006-04-01	28	0
2006-04-02 - 2006-04-08	42	0
2006-04-09 - 2006-04-15	31	0
2006-04-16 - 2006-04-22	38	0
2006-04-23 - 2006-04-29	24	0
2006-04-30 - 2006-05-06	54	0
2006-05-07 - 2006-05-13	39	0
2006-05-14 - 2006-05-20	35	0
2006-05-21 - 2006-05-27	20	0
2006-05-28 - 2006-06-03	35	0
2006-06-04 - 2006-06-10	26	0
2006-06-11 - 2006-06-17	32	0
2006-06-18 - 2006-06-24	38	0
2006-06-25 - 2006-07-01	26	0
2006-07-02 - 2006-07-08	27	0
2006-07-09 - 2006-07-15	36	0
2006-07-16 - 2006-07-22	36	0
2006-07-23 - 2006-07-29	50	0
2006-07-30 - 2006-08-05	39	0
2006-08-06 - 2006-08-12	22	0
2006-08-13 - 2006-08-19	39	0
2006-08-20 - 2006-08-26	37	0
2006-08-27 - 2006-09-02	28	0
2006-09-03 - 2006-09-09	28	0
2006-09-10 - 2006-09-16	29	0
2006-09-17 - 2006-09-23	49	0
2006-09-24 - 2006-09-30	37	0
2006-10-01 - 2006-10-07	32	0
2006-10-08 - 2006-10-14	31	0
2006-10-15 - 2006-10-21	36	0
2006-10-22 - 2006-10-28	29	0
2006-10-29 - 2006-11-04	38	0
2006-11-05 - 2006-11-11	45	0
2006-11-12 - 2006-11-18	32	0
2006-11-19 - 2006-11-25	29	0
2006-11-26 - 2006-12-02	24	0
2006-12-03 - 2006-12-09	31	0
2006-12-10 - 2006-12-16	28	0
2006-12-17 - 2006-12-23	47	0
2006-12-24 - 2006-12-30	39	0
2006-12-31 - 2007-01-06	35	0
2007-01-07 - 2007-01-13	44	0
2007-01-14 - 2007-01-20	20	0
2007-01-21 - 2007-01-27	33	0
2007-01-28 - 2007-02-03	39	0
2007-02-04 - 2007-02-10	37	0
2007-02-11 - 2007-02-17	41	0
2007-02-18 - 2007-02-24	46	0
2007-02-25 - 2007-03-03	37	0
2007-03-04 - 2007-03-10	35	0
2007-03-11 - 2007-03-17	33	0
2007-03-18 - 2007-03-24	35	0
2007-03-25 - 2007-03-31	36	0
2007-04-01 - 2007-04-07	34	0
2007-04-08 - 2007-04-14	23	0
2007-04-15 - 2007-04-21	29	0
2007-04-22 - 2007-04-28	31	0
2007-04-29 - 2007-05-05	38	0
2007-05-06 - 2007-05-12	31	0
2007-05-13 - 2007-05-19	37	0
2007-05-20 - 2007-05-26	27	0
2007-05-27 - 2007-06-02	41	0
2007-06-03 - 2007-06-09	39	10
2007-06-10 - 2007-06-16	46	0
2007-06-17 - 2007-06-23	42	0
2007-06-24 - 2007-06-30	40	0
2007-07-01 - 2007-07-07	37	0
2007-07-08 - 2007-07-14	39	0
2007-07-15 - 2007-07-21	40	0
2007-07-22 - 2007-07-28	28	0
2007-07-29 - 2007-08-04	36	0
2007-08-05 - 2007-08-11	47	0
2007-08-12 - 2007-08-18	34	0
2007-08-19 - 2007-08-25	54	0
2007-08-26 - 2007-09-01	38	0
2007-09-02 - 2007-09-08	49	0
2007-09-09 - 2007-09-15	28	0
2007-09-16 - 2007-09-22	45	0
2007-09-23 - 2007-09-29	28	0
2007-09-30 - 2007-10-06	39	0
2007-10-07 - 2007-10-13	31	0
2007-10-14 - 2007-10-20	33	0
2007-10-21 - 2007-10-27	36	0
2007-10-28 - 2007-11-03	33	0
2007-11-04 - 2007-11-10	36	0
2007-11-11 - 2007-11-17	28	0
2007-11-18 - 2007-11-24	40	9
2007-11-25 - 2007-12-01	28	9
2007-12-02 - 2007-12-08	52	9
2007-12-09 - 2007-12-15	39	0
2007-12-16 - 2007-12-22	31	0
2007-12-23 - 2007-12-29	36	0
2007-12-30 - 2008-01-05	32	0
2008-01-06 - 2008-01-12	29	0
2008-01-13 - 2008-01-19	37	0
2008-01-20 - 2008-01-26	26	0
2008-01-27 - 2008-02-02	42	10
2008-02-03 - 2008-02-09	36	10
2008-02-10 - 2008-02-16	39	10
2008-02-17 - 2008-02-23	32	8
2008-02-24 - 2008-03-01	33	8
2008-03-02 - 2008-03-08	34	8
2008-03-09 - 2008-03-15	32	8
2008-03-16 - 2008-03-22	34	8
2008-03-23 - 2008-03-29	35	8
2008-03-30 - 2008-04-05	28	0
2008-04-06 - 2008-04-12	32	0
2008-04-13 - 2008-04-19	34	0
2008-04-20 - 2008-04-26	34	0
2008-04-27 - 2008-05-03	27	0
2008-05-04 - 2008-05-10	33	0
2008-05-11 - 2008-05-17	40	7
2008-05-18 - 2008-05-24	31	7
2008-05-25 - 2008-05-31	39	7
2008-06-01 - 2008-06-07	33	7
2008-06-08 - 2008-06-14	34	0
2008-06-15 - 2008-06-21	42	0
2008-06-22 - 2008-06-28	30	0
2008-06-29 - 2008-07-05	42	0
2008-07-06 - 2008-07-12	38	0
2008-07-13 - 2008-07-19	41	0
2008-07-20 - 2008-07-26	68	11
2008-07-27 - 2008-08-02	46	7
2008-08-03 - 2008-08-09	46	8
2008-08-10 - 2008-08-16	45	8
2008-08-17 - 2008-08-23	44	0
2008-08-24 - 2008-08-30	45	0
2008-08-31 - 2008-09-06	37	0
2008-09-07 - 2008-09-13	32	0
2008-09-14 - 2008-09-20	42	0
2008-09-21 - 2008-09-27	43	0
2008-09-28 - 2008-10-04	46	0
2008-10-05 - 2008-10-11	42	0
2008-10-12 - 2008-10-18	42	0
2008-10-19 - 2008-10-25	44	8
2008-10-26 - 2008-11-01	40	7
2008-11-02 - 2008-11-08	47	7
2008-11-09 - 2008-11-15	46	7
2008-11-16 - 2008-11-22	28	6
2008-11-23 - 2008-11-29	44	6
2008-11-30 - 2008-12-06	36	6
2008-12-07 - 2008-12-13	38	6
2008-12-14 - 2008-12-20	40	6
2008-12-21 - 2008-12-27	59	8
2008-12-28 - 2009-01-03	46	10
2009-01-04 - 2009-01-10	38	6
2009-01-11 - 2009-01-17	40	6
2009-01-18 - 2009-01-24	43	6
2009-01-25 - 2009-01-31	45	7
2009-02-01 - 2009-02-07	37	7
2009-02-08 - 2009-02-14	44	6
2009-02-15 - 2009-02-21	42	6
2009-02-22 - 2009-02-28	44	6
2009-03-01 - 2009-03-07	46	6
2009-03-08 - 2009-03-14	46	7
2009-03-15 - 2009-03-21	43	7
2009-03-22 - 2009-03-28	35	7
2009-03-29 - 2009-04-04	37	8
2009-04-05 - 2009-04-11	38	6
2009-04-12 - 2009-04-18	45	6
2009-04-19 - 2009-04-25	29	6
2009-04-26 - 2009-05-02	40	5
2009-05-03 - 2009-05-09	39	5
2009-05-10 - 2009-05-16	28	11
2009-05-17 - 2009-05-23	34	9
2009-05-24 - 2009-05-30	33	8
2009-05-31 - 2009-06-06	51	7
2009-06-07 - 2009-06-13	42	7
2009-06-14 - 2009-06-20	39	7
2009-06-21 - 2009-06-27	44	8
2009-06-28 - 2009-07-04	37	6
2009-07-05 - 2009-07-11	44	6
2009-07-12 - 2009-07-18	44	6
2009-07-19 - 2009-07-25	39	8
2009-07-26 - 2009-08-01	50	9
2009-08-02 - 2009-08-08	39	11
2009-08-09 - 2009-08-15	42	7
2009-08-16 - 2009-08-22	48	9
2009-08-23 - 2009-08-29	38	8
2009-08-30 - 2009-09-05	36	8
2009-09-06 - 2009-09-12	41	5
2009-09-13 - 2009-09-19	33	6
2009-09-20 - 2009-09-26	38	7
2009-09-27 - 2009-10-03	45	5
2009-10-04 - 2009-10-10	35	6
2009-10-11 - 2009-10-17	40	6
2009-10-18 - 2009-10-24	44	8
2009-10-25 - 2009-10-31	34	5
2009-11-01 - 2009-11-07	43	6
2009-11-08 - 2009-11-14	47	9
2009-11-15 - 2009-11-21	38	6
2009-11-22 - 2009-11-28	40	6
2009-11-29 - 2009-12-05	27	5
2009-12-06 - 2009-12-12	39	6
2009-12-13 - 2009-12-19	40	6
2009-12-20 - 2009-12-26	47	6
2009-12-27 - 2010-01-02	47	7
2010-01-03 - 2010-01-09	43	5
2010-01-10 - 2010-01-16	36	7
2010-01-17 - 2010-01-23	39	6
2010-01-24 - 2010-01-30	42	6
2010-01-31 - 2010-02-06	40	9
2010-02-07 - 2010-02-13	43	7
2010-02-14 - 2010-02-20	42	5
2010-02-21 - 2010-02-27	40	4
2010-02-28 - 2010-03-06	36	12
2010-03-07 - 2010-03-13	33	7
2010-03-14 - 2010-03-20	40	8
2010-03-21 - 2010-03-27	36	7
2010-03-28 - 2010-04-03	43	7
2010-04-04 - 2010-04-10	43	7
2010-04-11 - 2010-04-17	39	6
2010-04-18 - 2010-04-24	45	7
2010-04-25 - 2010-05-01	42	10
2010-05-02 - 2010-05-08	38	7
2010-05-09 - 2010-05-15	42	7
2010-05-16 - 2010-05-22	49	6
2010-05-23 - 2010-05-29	44	7
2010-05-30 - 2010-06-05	43	7
2010-06-06 - 2010-06-12	42	8
2010-06-13 - 2010-06-19	45	5
2010-06-20 - 2010-06-26	44	8
2010-06-27 - 2010-07-03	57	14
2010-07-04 - 2010-07-10	46	9
2010-07-11 - 2010-07-17	57	14
2010-07-18 - 2010-07-24	53	9
2010-07-25 - 2010-07-31	53	10
2010-08-01 - 2010-08-07	58	10
2010-08-08 - 2010-08-14	56	14
2010-08-15 - 2010-08-21	57	11
2010-08-22 - 2010-08-28	48	11
2010-08-29 - 2010-09-04	45	12
2010-09-05 - 2010-09-11	46	11
2010-09-12 - 2010-09-18	49	11
2010-09-19 - 2010-09-25	35	7
2010-09-26 - 2010-10-02	53	7
2010-10-03 - 2010-10-09	46	8
2010-10-10 - 2010-10-16	37	7
2010-10-17 - 2010-10-23	44	8
2010-10-24 - 2010-10-30	46	11
2010-10-31 - 2010-11-06	45	9
2010-11-07 - 2010-11-13	46	10
2010-11-14 - 2010-11-20	43	13
2010-11-21 - 2010-11-27	37	9
2010-11-28 - 2010-12-04	44	9
2010-12-05 - 2010-12-11	40	7
2010-12-12 - 2010-12-18	40	7
2010-12-19 - 2010-12-25	38	10
2010-12-26 - 2011-01-01	42	11
2011-01-02 - 2011-01-08	51	10
2011-01-09 - 2011-01-15	41	7
2011-01-16 - 2011-01-22	43	6
2011-01-23 - 2011-01-29	46	6
2011-01-30 - 2011-02-05	48	8
2011-02-06 - 2011-02-12	47	7
2011-02-13 - 2011-02-19	40	7
2011-02-20 - 2011-02-26	43	9
2011-02-27 - 2011-03-05	42	8
2011-03-06 - 2011-03-12	45	5
2011-03-13 - 2011-03-19	47	9
2011-03-20 - 2011-03-26	41	5
2011-03-27 - 2011-04-02	37	7
2011-04-03 - 2011-04-09	42	8
2011-04-10 - 2011-04-16	47	9
2011-04-17 - 2011-04-23	39	9
2011-04-24 - 2011-04-30	38	8
2011-05-01 - 2011-05-07	46	8
2011-05-08 - 2011-05-14	48	9
2011-05-15 - 2011-05-21	57	9
2011-05-22 - 2011-05-28	57	12
2011-05-29 - 2011-06-04	48	12
2011-06-05 - 2011-06-11	44	8
2011-06-12 - 2011-06-18	47	9
2011-06-19 - 2011-06-25	49	8
2011-06-26 - 2011-07-02	44	10
2011-07-03 - 2011-07-09	46	11
2011-07-10 - 2011-07-16	42	4
2011-07-17 - 2011-07-23	48	7
2011-07-24 - 2011-07-30	51	14
2011-07-31 - 2011-08-06	52	9
2011-08-07 - 2011-08-13	48	9
2011-08-14 - 2011-08-20	54	9
2011-08-21 - 2011-08-27	50	7
2011-08-28 - 2011-09-03	59	10
2011-09-04 - 2011-09-10	50	9
2011-09-11 - 2011-09-17	53	9
2011-09-18 - 2011-09-24	47	7
2011-09-25 - 2011-10-01	53	8
2011-10-02 - 2011-10-08	43	8
2011-10-09 - 2011-10-15	47	7
2011-10-16 - 2011-10-22	51	8
2011-10-23 - 2011-10-29	47	6
2011-10-30 - 2011-11-05	48	11
2011-11-06 - 2011-11-12	52	7
2011-11-13 - 2011-11-19	42	7
2011-11-20 - 2011-11-26	45	6
2011-11-27 - 2011-12-03	43	7
2011-12-04 - 2011-12-10	49	10
2011-12-11 - 2011-12-17	52	12
2011-12-18 - 2011-12-24	43	10
2011-12-25 - 2011-12-31	43	6
2012-01-01 - 2012-01-07	46	10
2012-01-08 - 2012-01-14	44	9
2012-01-15 - 2012-01-21	53	9
2012-01-22 - 2012-01-28	46	10
2012-01-29 - 2012-02-04	53	6
2012-02-05 - 2012-02-11	60	9
2012-02-12 - 2012-02-18	52	6
2012-02-19 - 2012-02-25	56	7
2012-02-26 - 2012-03-03	59	9
2012-03-04 - 2012-03-10	50	10
2012-03-11 - 2012-03-17	55	8
2012-03-18 - 2012-03-24	50	7
2012-03-25 - 2012-03-31	53	10
2012-04-01 - 2012-04-07	56	9
2012-04-08 - 2012-04-14	50	9
2012-04-15 - 2012-04-21	49	8
2012-04-22 - 2012-04-28	54	10
2012-04-29 - 2012-05-05	52	10
2012-05-06 - 2012-05-12	52	10
2012-05-13 - 2012-05-19	49	11
2012-05-20 - 2012-05-26	51	10
2012-05-27 - 2012-06-02	60	12
2012-06-03 - 2012-06-09	56	13
2012-06-10 - 2012-06-16	52	9
2012-06-17 - 2012-06-23	55	7
2012-06-24 - 2012-06-30	64	12
2012-07-01 - 2012-07-07	54	9
2012-07-08 - 2012-07-14	54	9
2012-07-15 - 2012-07-21	51	9
2012-07-22 - 2012-07-28	51	7
2012-07-29 - 2012-08-04	58	10
2012-08-05 - 2012-08-11	48	8
2012-08-12 - 2012-08-18	59	12
2012-08-19 - 2012-08-25	63	8
2012-08-26 - 2012-09-01	62	9
2012-09-02 - 2012-09-08	60	10
2012-09-09 - 2012-09-15	64	11
2012-09-16 - 2012-09-22	59	14
2012-09-23 - 2012-09-29	64	16
2012-09-30 - 2012-10-06	63	12
2012-10-07 - 2012-10-13	64	14
2012-10-14 - 2012-10-20	56	9
2012-10-21 - 2012-10-27	56	10
2012-10-28 - 2012-11-03	56	12
2012-11-04 - 2012-11-10	61	14
2012-11-11 - 2012-11-17	59	10
2012-11-18 - 2012-11-24	59	10
2012-11-25 - 2012-12-01	53	11
2012-12-02 - 2012-12-08	58	12
2012-12-09 - 2012-12-15	53	11
2012-12-16 - 2012-12-22	51	10
2012-12-23 - 2012-12-29	52	10
2012-12-30 - 2013-01-05	55	12
2013-01-06 - 2013-01-12	56	12
2013-01-13 - 2013-01-19	56	11
2013-01-20 - 2013-01-26	59	9
2013-01-27 - 2013-02-02	49	13
2013-02-03 - 2013-02-09	61	9
2013-02-10 - 2013-02-16	60	10
2013-02-17 - 2013-02-23	61	13
2013-02-24 - 2013-03-02	54	12
2013-03-03 - 2013-03-09	54	12
2013-03-10 - 2013-03-16	57	10
2013-03-17 - 2013-03-23	55	12
2013-03-24 - 2013-03-30	59	11
2013-03-31 - 2013-04-06	56	10
2013-04-07 - 2013-04-13	56	9
2013-04-14 - 2013-04-20	55	12
2013-04-21 - 2013-04-27	50	10
2013-04-28 - 2013-05-04	62	10
2013-05-05 - 2013-05-11	55	7
2013-05-12 - 2013-05-18	55	9
2013-05-19 - 2013-05-25	61	7
2013-05-26 - 2013-06-01	54	11
2013-06-02 - 2013-06-08	55	9
2013-06-09 - 2013-06-15	61	8
2013-06-16 - 2013-06-22	54	10
2013-06-23 - 2013-06-29	58	8
2013-06-30 - 2013-07-06	56	9
2013-07-07 - 2013-07-13	61	8
2013-07-14 - 2013-07-20	64	10
2013-07-21 - 2013-07-27	54	10
2013-07-28 - 2013-08-03	59	11
2013-08-04 - 2013-08-10	65	11
2013-08-11 - 2013-08-17	67	9
2013-08-18 - 2013-08-24	67	9
2013-08-25 - 2013-08-31	56	9
2013-09-01 - 2013-09-07	64	8
2013-09-08 - 2013-09-14	62	8
2013-09-15 - 2013-09-21	60	9
2013-09-22 - 2013-09-28	59	7
2013-09-29 - 2013-10-05	46	9
2013-10-06 - 2013-10-12	63	9
2013-10-13 - 2013-10-19	52	9
2013-10-20 - 2013-10-26	58	11
2013-10-27 - 2013-11-02	56	10
2013-11-03 - 2013-11-09	60	7
2013-11-10 - 2013-11-16	54	8
2013-11-17 - 2013-11-23	61	9
2013-11-24 - 2013-11-30	58	8
2013-12-01 - 2013-12-07	66	14
2013-12-08 - 2013-12-14	50	8
2013-12-15 - 2013-12-21	57	10
2013-12-22 - 2013-12-28	60	7
2013-12-29 - 2014-01-04	57	10
2014-01-05 - 2014-01-11	61	10
2014-01-12 - 2014-01-18	62	11
2014-01-19 - 2014-01-25	59	9
2014-01-26 - 2014-02-01	64	8
2014-02-02 - 2014-02-08	57	9
2014-02-09 - 2014-02-15	83	0
